"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","structural constituent of chromatin","GO:0030527","true","1.1508818769588468e-30","29.938969248757278","100","93","23","20139","H2AC20,H2AC21,H3C13,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9"
"GO:MF","protein heterodimerization activity","GO:0046982","true","3.0939054458069206e-11","10.509492963096827","361","93","18","20139","H2AC20,H2AC21,H3C13,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9"
"GO:MF","structural molecule activity","GO:0005198","false","1.0968382401321445e-8","7.959857416726136","1102","93","25","20139","H2AC20,H2AC21,H3C13,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,MRPL41,KRTAP29-1"
"GO:MF","pre-mRNA 5'-splice site binding","GO:0030627","true","8.208033033509126e-8","7.085760904395775","200","93","12","20139","RNU11,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,RNU4ATAC,RNU6ATAC"
"GO:MF","pre-mRNA binding","GO:0036002","false","0.0000013348605181636993","5.8745641120945935","315","93","13","20139","RNU11,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,RNU4ATAC,RNU6ATAC,RNU12"
"GO:MF","nucleic acid binding","GO:0003676","true","0.0000029531458508617796","5.529715103437819","5480","93","52","20139","H2AC20,H2AC21,H3C13,HES4,RNU11,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,ZNF593,RNU4ATAC,TERC,LINC01962,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,SF3B5,FERD3L,MRPL41,RNU6ATAC,RNU4-1,RNU4-2,RNASE3,RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9,POLR2I,RNU12"
"GO:MF","protein dimerization activity","GO:0046983","false","0.00007180610812971785","4.1438386112702075","1105","93","20","20139","H2AC20,H2AC21,H3C13,HES4,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,FERD3L"
"GO:MF","nucleosomal DNA binding","GO:0031492","true","0.0006571867676996679","3.182311189565751","40","93","5","20139","H1-1,H1-2,H1-3,H1-4,H1-5"
"GO:MF","heterocyclic compound binding","GO:1901363","false","0.007042271882099621","2.1522872120667067","7455","93","55","20139","H2AC20,H2AC21,H3C13,HES4,RNU11,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,ZNF593,RNU4ATAC,TERC,LINC01962,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,SF3B5,FERD3L,MOS,MRPL41,RNU6ATAC,RNU4-1,RNU4-2,RNASE3,RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9,HBM,HBQ1,POLR2I,RNU12"
"GO:MF","organic cyclic compound binding","GO:0097159","false","0.009687492534917337","2.0137886191483902","7526","93","55","20139","H2AC20,H2AC21,H3C13,HES4,RNU11,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,ZNF593,RNU4ATAC,TERC,LINC01962,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,SF3B5,FERD3L,MOS,MRPL41,RNU6ATAC,RNU4-1,RNU4-2,RNASE3,RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9,HBM,HBQ1,POLR2I,RNU12"
"GO:MF","nucleosome binding","GO:0031491","false","0.010838315060631645","1.965038228567675","70","93","5","20139","H1-1,H1-2,H1-3,H1-4,H1-5"
"GO:MF","DNA binding","GO:0003677","false","0.011207126094194794","1.9505057416824936","2530","93","27","20139","H2AC20,H2AC21,H3C13,HES4,ZNF593,TERC,H1-1,H1-2,H1-3,H1-4,H1-5,H2AC12,H2AC14,H2AC6,H2AC7,H2BC10,H2BC11,H2BC13,H2BC14,H2BC15,H2BC17,H2BC3,H2BC6,H2BC7,H2BC8,H2BC9,FERD3L"
"GO:BP","miRNA-mediated post-transcriptional gene silencing","GO:0035195","true","1.320821791491497e-88","87.8791557745072","613","376","120","21010","MIR30C1,MIR30E,MIR760,MIR9-1,MIR10B,MIR26B,MIR375,MIR1224,MIR1226,MIR15B,MIR16-2,MIR191,MIR28,MIR425,MIR885,MIR922,MIRLET7G,MIR302A,MIR302C,MIR302D,MIR367,MIR572,MIR574,MIR143,MIR145,MIR146A,MIR378A,MIR449A,MIR449B,MIR449C,MIR584,MIR9-2,MIR219A1,MIR877,MIR106B,MIR148A,MIR196B,MIR25,MIR550A1,MIR550B1,MIR590,MIR93,MIR1207,MIR124-1,MIR124-2,MIR320A,MIR661,MIR101-2,MIR199B,MIR600,MIR601,MIR873,MIRLET7A1,MIRLET7F1,MIR1307,MIR146B,MIR125B1,MIR129-2,MIR130A,MIR210,MIR326,MIR34B,MIR611,MIR612,MIR148B,MIR196A2,MIR200C,MIR26A2,MIR492,MIR615,MIR616,MIR618,MIRLET7I,MIR203A,MIR203B,MIR342,MIR624,MIR184,MIR422A,MIR626,MIR9-3,MIR138-2,MIR140,MIR193B,MIR3180-4,MIR3180-5,MIR484,MIR548H2,MIR940,MIR10A,MIR1253,MIR132,MIR142,MIR152,MIR193A,MIR196A1,MIR212,MIR3184,MIR324,MIR423,MIR632,MIR636,MIR320C1,MIR1227,MIR150,MIR23A,MIR24-2,MIR330,MIR638,MIR639,MIR640,MIR124-3,MIR155,MIR1306,MIR185,MIR648,MIR650,MIR374A,MIR424,MIR503"
"GO:BP","regulatory ncRNA-mediated post-transcriptional gene silencing","GO:0035194","false","5.49916163936846e-88","87.25970351471454","620","376","120","21010","MIR30C1,MIR30E,MIR760,MIR9-1,MIR10B,MIR26B,MIR375,MIR1224,MIR1226,MIR15B,MIR16-2,MIR191,MIR28,MIR425,MIR885,MIR922,MIRLET7G,MIR302A,MIR302C,MIR302D,MIR367,MIR572,MIR574,MIR143,MIR145,MIR146A,MIR378A,MIR449A,MIR449B,MIR449C,MIR584,MIR9-2,MIR219A1,MIR877,MIR106B,MIR148A,MIR196B,MIR25,MIR550A1,MIR550B1,MIR590,MIR93,MIR1207,MIR124-1,MIR124-2,MIR320A,MIR661,MIR101-2,MIR199B,MIR600,MIR601,MIR873,MIRLET7A1,MIRLET7F1,MIR1307,MIR146B,MIR125B1,MIR129-2,MIR130A,MIR210,MIR326,MIR34B,MIR611,MIR612,MIR148B,MIR196A2,MIR200C,MIR26A2,MIR492,MIR615,MIR616,MIR618,MIRLET7I,MIR203A,MIR203B,MIR342,MIR624,MIR184,MIR422A,MIR626,MIR9-3,MIR138-2,MIR140,MIR193B,MIR3180-4,MIR3180-5,MIR484,MIR548H2,MIR940,MIR10A,MIR1253,MIR132,MIR142,MIR152,MIR193A,MIR196A1,MIR212,MIR3184,MIR324,MIR423,MIR632,MIR636,MIR320C1,MIR1227,MIR150,MIR23A,MIR24-2,MIR330,MIR638,MIR639,MIR640,MIR124-3,MIR155,MIR1306,MIR185,MIR648,MIR650,MIR374A,MIR424,MIR503"
"GO:BP","post-transcriptional gene silencing","GO:0016441","false","2.7426402210299132e-87","86.56183115931833","628","376","120","21010","MIR30C1,MIR30E,MIR760,MIR9-1,MIR10B,MIR26B,MIR375,MIR1224,MIR1226,MIR15B,MIR16-2,MIR191,MIR28,MIR425,MIR885,MIR922,MIRLET7G,MIR302A,MIR302C,MIR302D,MIR367,MIR572,MIR574,MIR143,MIR145,MIR146A,MIR378A,MIR449A,MIR449B,MIR449C,MIR584,MIR9-2,MIR219A1,MIR877,MIR106B,MIR148A,MIR196B,MIR25,MIR550A1,MIR550B1,MIR590,MIR93,MIR1207,MIR124-1,MIR124-2,MIR320A,MIR661,MIR101-2,MIR199B,MIR600,MIR601,MIR873,MIRLET7A1,MIRLET7F1,MIR1307,MIR146B,MIR125B1,MIR129-2,MIR130A,MIR210,MIR326,MIR34B,MIR611,MIR612,MIR148B,MIR196A2,MIR200C,MIR26A2,MIR492,MIR615,MIR616,MIR618,MIRLET7I,MIR203A,MIR203B,MIR342,MIR624,MIR184,MIR422A,MIR626,MIR9-3,MIR138-2,MIR140,MIR193B,MIR3180-4,MIR3180-5,MIR484,MIR548H2,MIR940,MIR10A,MIR1253,MIR132,MIR142,MIR152,MIR193A,MIR196A1,MIR212,MIR3184,MIR324,MIR423,MIR632,MIR636,MIR320C1,MIR1227,MIR150,MIR23A,MIR24-2,MIR330,MIR638,MIR639,MIR640,MIR124-3,MIR155,MIR1306,MIR185,MIR648,MIR650,MIR374A,MIR424,MIR503"
"GO:BP","regulatory ncRNA-mediated gene silencing","GO:0031047","false","7.920737391395235e-82","81.10123438531623","695","376","120","21010","MIR30C1,MIR30E,MIR760,MIR9-1,MIR10B,MIR26B,MIR375,MIR1224,MIR1226,MIR15B,MIR16-2,MIR191,MIR28,MIR425,MIR885,MIR922,MIRLET7G,MIR302A,MIR302C,MIR302D,MIR367,MIR572,MIR574,MIR143,MIR145,MIR146A,MIR378A,MIR449A,MIR449B,MIR449C,MIR584,MIR9-2,MIR219A1,MIR877,MIR106B,MIR148A,MIR196B,MIR25,MIR550A1,MIR550B1,MIR590,MIR93,MIR1207,MIR124-1,MIR124-2,MIR320A,MIR661,MIR101-2,MIR199B,MIR600,MIR601,MIR873,MIRLET7A1,MIRLET7F1,MIR1307,MIR146B,MIR125B1,MIR129-2,MIR130A,MIR210,MIR326,MIR34B,MIR611,MIR612,MIR148B,MIR196A2,MIR200C,MIR26A2,MIR492,MIR615,MIR616,MIR618,MIRLET7I,MIR203A,MIR203B,MIR342,MIR624,MIR184,MIR422A,MIR626,MIR9-3,MIR138-2,MIR140,MIR193B,MIR3180-4,MIR3180-5,MIR484,MIR548H2,MIR940,MIR10A,MIR1253,MIR132,MIR142,MIR152,MIR193A,MIR196A1,MIR212,MIR3184,MIR324,MIR423,MIR632,MIR636,MIR320C1,MIR1227,MIR150,MIR23A,MIR24-2,MIR330,MIR638,MIR639,MIR640,MIR124-3,MIR155,MIR1306,MIR185,MIR648,MIR650,MIR374A,MIR424,MIR503"
"GO:BP","gene expression","GO:0010467","false","9.077878218034327e-61","60.04201564772122","9182","376","321","21010","HES4,MIR30C1,MIR30E,MIR760,MIR9-1,RNU11,RNU5F-1,RNVU1-1,RNVU1-14,RNVU1-15,RNVU1-17,RNVU1-2A,RNVU1-3,RNVU1-4,RNVU1-6,RNVU1-7,SCARNA2,SNORA44,SNORA55,SNORA58B,SNORA61,SNORA66,SNORD21,SNORD38A,SNORD45A,SNORD45B,SNORD45C,SNORD46,SNORD55,SNORD99,ZNF593,MIR10B,MIR26B,MIR375,MRPL53,RNU4ATAC,SCARNA5,SNORA80B,SNORD20,SNORD53B,SNORD70,SNORD82,SNORD89,MIR1224,MIR1226,MIR1248,MIR15B,MIR16-2,MIR191,MIR28,MIR425,MIR885,MIR922,MIRLET7G,SNORA4,SNORA6,SNORA7A,SNORA7B,SNORA81,SNORD2,SNORD66,MIR302A,MIR302C,MIR302D,MIR367,MIR572,MIR574,SNHG8,SNORA24,SNORA26,SNORD73B,LINC01962,MIR143,MIR145,MIR146A,MIR378A,MIR449A,MIR449B,MIR449C,MIR584,MIR9-2,SNORA13,SNORD63B,SNORD72,SNORD95,SNORD96A,H1-2,H1-3,H1-4,H1-5,MIR219A1,MIR877,SF3B5,SNORA38,SNORD100,SNORD101,SNORD117,SNORD48,SNORD50B,SNORD52,SNORD84,FERD3L,MIR106B,MIR148A,MIR196B,MIR25,MIR550A1,MIR550B1,MIR590,MIR93,SNORA5A,SNORA5B,SNORA5C,SNORA9,MIR1207,MIR124-1,MIR124-2,MIR320A,MIR661,SNORA1B,SNORD13,SNORD54,SNORD87,MIR101-2,MIR199B,MIR3651,MIR600,MIR601,MIR873,MIRLET7A1,MIRLET7F1,MRPL41,RMRP,RNU6ATAC,SNORA17A,SNORA65,SNORA84,SNORD121A,SNORD24,SNORD36A,SNORD36B,SNORD36C,MIR1307,MIR146B,SNORA12,SNORD3J,CCDC85B,MIR125B1,MIR129-2,MIR130A,MIR210,MIR326,MIR34B,MIR611,MIR612,SNORA3A,SNORA3B,SNORA40,SNORA52,SNORA54,SNORA57,SNORD14B,SNORD14C,SNORD14D,SNORD15A,SNORD15B,SNORD25,SNORD26,SNORD31,SNORD97,MIR148B,MIR196A2,MIR200C,MIR26A2,MIR492,MIR615,MIR616,MIR618,MIRLET7I,RNU4-1,RNU4-2,SCARNA11,SNORA2B,SNORA2C,SNORA49,SNORA70G,SNORD59A,SNORA31,SNORA31B,MIR203A,MIR203B,MIR342,MIR624,RPPH1,SCARNA13,SNORA11B,SNORA28,SNORD56B,SNORD8,SNORD9,MIR184,MIR422A,MIR626,MIR9-3,RNU5A-1,RNU5B-1,RNU6-1,RNU6-2,RNU6-7,RNU6-8,RNU6-9,SNORD116-20,SNORD16,SNORD18A,MIR138-2,MIR140,MIR193B,MIR3180-4,MIR3180-5,MIR484,MIR548H2,MIR940,SNHG19,SNHG9,SNORA10,SNORA30,SNORA3C,SNORA64,SNORA78,SNORD111B,SNORD60,SNORD68,MIR10A,MIR1253,MIR132,MIR142,MIR152,MIR193A,MIR196A1,MIR212,MIR3184,MIR324,MIR423,MIR632,MIR636,MIR6516,SCARNA16,SCARNA20,SCARNA21,SNHG25,SNORA21,SNORA48,SNORA50C,SNORA67,SNORD10,SNORD104,SNORD118,SNORD124,SNORD1A,SNORD1B,SNORD1C,SNORD3A,SNORD42A,SNORD42B,SNORD49A,SNORD49B,SNORD4A,SNORD4B,SNORD65,MIR320C1,SCARNA17,SNORA37,SNORD58A,SNORD58B,MIR1227,MIR150,MIR23A,MIR24-2,MIR330,MIR638,MIR639,MIR640,POLR2I,SNORA68,SNORD105,SNORD105B,SNORD23,SNORD32A,SNORD34,SNORD35A,SNORD35B,SNORD37,SNORD41,SNORD88C,MIR124-3,SNORA51,SNORA71B,SNORA71C,SNORA71D,SNORD110,SNORD12,SNORD12B,SNORD12C,SNORD17,SNORD56,SNORD86,MIR155,MIF,MIR1306,MIR185,MIR648,MIR650,RNU12,SNORD43,SNORD83A,SNORD83B,MIR374A,MIR424,MIR503,SNORA69,SNORD61"
